name,location,address,maps_url
بنك مصر,"(30.0064831, 31.2091883)","2645+HMP, Shebita Al Gadid, Al Omraneyah Ash Sharqeyah, Al Giza","https://www.google.com/maps/search/?api=1&query=30.0064831,31.2091883"
بنك مصر,"(30.044652, 31.2407345)","6 El Tahrir, Al Balaqsah, Abdeen","https://www.google.com/maps/search/?api=1&query=30.044652,31.2407345"
Bank Misr Elkalaa Branch,"(30.0362792, 31.2518546)","22 Al Mas Al Hageb, El-Darb El-Ahmar, Al-Darb Al-Ahmar","https://www.google.com/maps/search/?api=1&query=30.0362792,31.2518546"
Bank Misr,"(30.0370656, 31.234511)","74 Cairo - Al Wosta, Al Inshaa WA Al Munirah, El Sayeda Zeinab","https://www.google.com/maps/search/?api=1&query=30.0370656,31.234511"
Banque Misr,"(30.0192543, 31.2250255)","269G+P22, Al Manyal Al Gharbi, Old Cairo","https://www.google.com/maps/search/?api=1&query=30.0192543,31.2250255"
Bank Misr ATM -ماكينة صراف آلي بنك مصر,"(30.0263698, 31.2049394)","26G3+GXW, Oula, Al Giza","https://www.google.com/maps/search/?api=1&query=30.0263698,31.2049394"
Bank Masr-cairo University Branch,"(30.0263905, 31.2051913)","30°01'35. 31°12'18.، 0""N Street 2","https://www.google.com/maps/search/?api=1&query=30.0263905,31.2051913"
ATM Bank Misr,"(30.0347824, 31.2391078)","26MQ+WJ9, Noubar St, Khairat, Abdeen","https://www.google.com/maps/search/?api=1&query=30.0347824,31.2391078"
Banque Misr Dokki for Islamic Dealings,"(30.0379561, 31.2109282)","26Q6+598, Ad Doqi, Dokki","https://www.google.com/maps/search/?api=1&query=30.0379561,31.2109282"
بنك مصر,"(30.0461468, 31.2148132)","16 Dr Mohammed, Al Agouzah, Agouza","https://www.google.com/maps/search/?api=1&query=30.0461468,31.2148132"
بنك مصر,"(30.0045798, 31.2034026)","2633+R9J, Khatem El-Morsaleen, Al Omraneyah Al Gharbeyah, El Omraniya","https://www.google.com/maps/search/?api=1&query=30.0045798,31.2034026"
ATM Banque Misr,"(30.0076, 31.23002139999999)","265J+22M, Mari Gerges, Al Kafour, Old Cairo","https://www.google.com/maps/search/?api=1&query=30.0076,31.23002139999999"
بنك مصر,"(30.0147198, 31.2110748)","2676+VCP, Khafraa, Oula, Al Giza","https://www.google.com/maps/search/?api=1&query=30.0147198,31.2110748"
Banque Misr,"(30.0473665, 31.2458571)","30 Roushdy Basha, As Sahah, Abdeen","https://www.google.com/maps/search/?api=1&query=30.0473665,31.2458571"
Banque Misr,"(30.05218589999999, 31.1922945)","56-58 Syria, Mit Akaba, Agouza","https://www.google.com/maps/search/?api=1&query=30.05218589999999,31.1922945"
Banque Misr,"(30.0561234, 31.2015807)","15 Wadi Al Nile, Gazirat Mit Oqbah, Agouza","https://www.google.com/maps/search/?api=1&query=30.0561234,31.2015807"
Banque Misr,"(30.0610807, 31.22772569999999)","366H+C3Q, Nile Corniche, Boulaq Num.5, Bulaq","https://www.google.com/maps/search/?api=1&query=30.0610807,31.22772569999999"
Banque Misr,"(30.0608016, 31.2461435)","6 Ramsis Square, Al Gayarah, Al Azbakeya","https://www.google.com/maps/search/?api=1&query=30.0608016,31.2461435"
Banque Misr Shubra Branch,"(30.0747544, 31.245198)","36FW+W34, Shobra, Toson, Rod El Farag","https://www.google.com/maps/search/?api=1&query=30.0747544,31.245198"
